,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Christian McCaffrey,CAR,RB,23,16,16,0,2,0,0,287,1387,142,116,1005,8.66,1,0,0,0,2,1387,15,287,1005,4,469.2
1,Lamar Jackson,BAL,QB,22,15,15,265,401,3127,6,176,1206,0,0,0,0,9,2,3127,36,401,1206,7,176,0,0,415.68
2,Derrick Henry,TEN,RB,25,15,15,0,0,0,0,303,1540,24,18,206,11.44,5,3,0,0,0,1540,16,303,206,2,294.6
3,Aaron Jones,GNB,RB,25,16,16,0,0,0,0,236,1084,68,49,474,9.67,3,2,0,0,0,1084,16,236,474,3,314.8
4,Ezekiel Elliott,DAL,RB,24,16,16,0,0,0,0,301,1357,71,54,420,7.78,3,2,0,0,0,1357,12,301,420,2,311.7
5,Dalvin Cook,MIN,RB,24,14,14,0,0,0,0,250,1135,63,53,519,9.79,4,2,0,0,0,1135,13,250,519,0,292.4
6,Michael Thomas,NOR,WR,26,16,15,0,0,0,0,1,-9,185,149,1725,11.58,1,0,0,0,0,-9,0,1,1725,9,374.6
7,Travis Kelce,KAN,TE,30,16,16,0,0,0,0,1,4,136,97,1229,12.67,1,1,0,0,0,4,1,1,1229,5,254.3
8,Nick Chubb,CLE,RB,24,16,16,0,0,0,0,298,1494,49,36,278,7.72,3,3,0,0,0,1494,8,298,278,0,255.2
9,Austin Ekeler,LAC,RB,24,16,8,0,0,0,0,132,557,108,92,993,10.79,3,2,0,0,0,557,3,132,993,8,309
10,Mark Ingram,BAL,RB,30,15,15,0,0,0,0,202,1018,29,26,247,9.5,2,2,0,0,0,1018,10,202,247,5,238.5
11,Dak Prescott,DAL,QB,26,16,16,388,596,4902,11,52,277,0,0,0,0,6,2,4902,30,596,277,3,52,0,0,335.78
12,Mark Andrews,BAL,TE,23,15,4,0,0,0,0,0,0,98,64,852,13.31,2,1,0,0,0,0,0,0,852,10,207.2
13,Russell Wilson,SEA,QB,31,16,16,341,516,4110,5,75,342,0,0,0,0,8,2,4110,31,516,342,3,75,0,0,326.6
